round_no,name,mode,eligible_filter,requires_reported,requires_paid,rank_list,merge_after,notes
1,TFWS Counseling,fresh,is_tfws_eligible,no,no,tfws,,TFWS only
2,TFWS Upward I,upward,all,yes,yes,tfws,,Upward within TFWS
3,Special Categories,fresh,is_km OR is_pwd OR exs_code IS NOT NULL OR is_ors,no,no,main,WOMEN,KM + PwD + Ex-S + ORS; merge WOMEN after
4,Special Upward,upward,all,yes,yes,main,"PWD,EXS",Upward for R3; merge PWD/EXS after
5,Rajasthan Main,fresh,is_rajasthan_domicile,no,no,main,,Main counseling for Rajasthan
6,RS Upward I,upward,all,yes,yes,main,,Upward I
7,RS Upward II,upward,all,yes,yes,main,,Upward II
8,Direct + Management,spot,all,no,no,main,,Direct admission + mgmt quota
